retweet_phase_id,retweet_phase,retweet_phase_group,motive_family,motive_label,retweet_label_events,unique_retweets,phase_total_events,phase_share,display_label
3.0,phase_3,phases 2-3,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),108,108,1688,0.06398104265402843,Gaslighting or self-doubt
3.0,phase_3,phases 2-3,11,Shame/embarassment,143,143,1688,0.08471563981042654,Shame or embarrassment
3.0,phase_3,phases 2-3,12,Lack of support from others,48,48,1688,0.02843601895734597,Lack of support
3.0,phase_3,phases 2-3,14,"Perpetrator was respected, powerfull, influential",21,21,1688,0.012440758293838863,Perpetrator status or power
3.0,phase_3,phases 2-3,15,Invisible violence / lack of physical evidence,117,117,1688,0.0693127962085308,Invisible violence or lack of evidence
3.0,phase_3,phases 2-3,16,"""No one would believe""",19,19,1688,0.011255924170616114,No one would believe
3.0,phase_3,phases 2-3,18,Perpetrator was a family member,131,131,1688,0.07760663507109004,Perpetrator was family
3.0,phase_3,phases 2-3,19,Protection of the family,154,154,1688,0.09123222748815166,Family protection
3.0,phase_3,phases 2-3,2,Distrust in institutions,93,93,1688,0.05509478672985782,Distrust in institutions
3.0,phase_3,phases 2-3,20,"Belief that perpetartor will change (""it won't happen again"")",12,12,1688,0.0071090047393364926,Belief perpetrator would change
3.0,phase_3,phases 2-3,22,Dependent on the perpetrator,52,52,1688,0.030805687203791468,Dependence on perpetrator
3.0,phase_3,phases 2-3,23,I can deal with it,9,9,1688,0.00533175355450237,I can deal with it
3.0,phase_3,phases 2-3,24,Blaming the victim,12,12,1688,0.0071090047393364926,Blaming the victim
3.0,phase_3,phases 2-3,25,OTHER,1,1,1688,0.0005924170616113745,OTHER
3.0,phase_3,phases 2-3,3,Others minimized victims experience,74,73,1688,0.04383886255924171,Others minimized the experience
3.0,phase_3,phases 2-3,4,"""I tought that was normal"" (dismisal/minimizing)",27,27,1688,0.015995260663507108,Experience treated as normal
3.0,phase_3,phases 2-3,5,Lack of knowledge/awarenes that it is violence,279,276,1688,0.16528436018957346,Lack of recognition as violence
3.0,phase_3,phases 2-3,6,Fear,188,187,1688,0.11137440758293839,Fear
3.0,phase_3,phases 2-3,7,Self-blame,71,71,1688,0.04206161137440758,Self-blame
3.0,phase_3,phases 2-3,8,"Kept from reporting by others (""advised me not to report"")",12,12,1688,0.0071090047393364926,Discouraged by others
3.0,phase_3,phases 2-3,9,Managed to escape/defend,117,117,1688,0.0693127962085308,Escaped or defended oneself
4.0,phase_4,phases 4-5,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),15,15,148,0.10135135135135136,Gaslighting or self-doubt
4.0,phase_4,phases 4-5,11,Shame/embarassment,13,13,148,0.08783783783783784,Shame or embarrassment
4.0,phase_4,phases 4-5,12,Lack of support from others,3,3,148,0.02027027027027027,Lack of support
4.0,phase_4,phases 4-5,14,"Perpetrator was respected, powerfull, influential",21,21,148,0.14189189189189189,Perpetrator status or power
4.0,phase_4,phases 4-5,15,Invisible violence / lack of physical evidence,9,9,148,0.060810810810810814,Invisible violence or lack of evidence
4.0,phase_4,phases 4-5,16,"""No one would believe""",2,2,148,0.013513513513513514,No one would believe
4.0,phase_4,phases 4-5,18,Perpetrator was a family member,8,8,148,0.05405405405405406,Perpetrator was family
4.0,phase_4,phases 4-5,19,Protection of the family,10,10,148,0.06756756756756757,Family protection
4.0,phase_4,phases 4-5,2,Distrust in institutions,13,13,148,0.08783783783783784,Distrust in institutions
4.0,phase_4,phases 4-5,20,"Belief that perpetartor will change (""it won't happen again"")",1,1,148,0.006756756756756757,Belief perpetrator would change
4.0,phase_4,phases 4-5,24,Blaming the victim,1,1,148,0.006756756756756757,Blaming the victim
4.0,phase_4,phases 4-5,3,Others minimized victims experience,4,4,148,0.02702702702702703,Others minimized the experience
4.0,phase_4,phases 4-5,4,"""I tought that was normal"" (dismisal/minimizing)",3,3,148,0.02027027027027027,Experience treated as normal
4.0,phase_4,phases 4-5,5,Lack of knowledge/awarenes that it is violence,21,21,148,0.14189189189189189,Lack of recognition as violence
4.0,phase_4,phases 4-5,6,Fear,14,14,148,0.0945945945945946,Fear
4.0,phase_4,phases 4-5,7,Self-blame,8,8,148,0.05405405405405406,Self-blame
4.0,phase_4,phases 4-5,9,Managed to escape/defend,2,2,148,0.013513513513513514,Escaped or defended oneself
5.0,phase_5,phases 4-5,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),7,7,73,0.0958904109589041,Gaslighting or self-doubt
5.0,phase_5,phases 4-5,11,Shame/embarassment,4,4,73,0.0547945205479452,Shame or embarrassment
5.0,phase_5,phases 4-5,14,"Perpetrator was respected, powerfull, influential",4,4,73,0.0547945205479452,Perpetrator status or power
5.0,phase_5,phases 4-5,15,Invisible violence / lack of physical evidence,1,1,73,0.0136986301369863,Invisible violence or lack of evidence
5.0,phase_5,phases 4-5,16,"""No one would believe""",1,1,73,0.0136986301369863,No one would believe
5.0,phase_5,phases 4-5,18,Perpetrator was a family member,5,5,73,0.0684931506849315,Perpetrator was family
5.0,phase_5,phases 4-5,19,Protection of the family,4,4,73,0.0547945205479452,Family protection
5.0,phase_5,phases 4-5,2,Distrust in institutions,32,32,73,0.4383561643835616,Distrust in institutions
5.0,phase_5,phases 4-5,5,Lack of knowledge/awarenes that it is violence,7,7,73,0.0958904109589041,Lack of recognition as violence
5.0,phase_5,phases 4-5,6,Fear,2,2,73,0.0273972602739726,Fear
5.0,phase_5,phases 4-5,7,Self-blame,2,2,73,0.0273972602739726,Self-blame
5.0,phase_5,phases 4-5,9,Managed to escape/defend,4,4,73,0.0547945205479452,Escaped or defended oneself
6.0,phase_6,phases 6-8,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),2,2,62,0.03225806451612903,Gaslighting or self-doubt
6.0,phase_6,phases 6-8,11,Shame/embarassment,2,2,62,0.03225806451612903,Shame or embarrassment
6.0,phase_6,phases 6-8,15,Invisible violence / lack of physical evidence,1,1,62,0.016129032258064516,Invisible violence or lack of evidence
6.0,phase_6,phases 6-8,16,"""No one would believe""",1,1,62,0.016129032258064516,No one would believe
6.0,phase_6,phases 6-8,18,Perpetrator was a family member,1,1,62,0.016129032258064516,Perpetrator was family
6.0,phase_6,phases 6-8,19,Protection of the family,3,3,62,0.04838709677419355,Family protection
6.0,phase_6,phases 6-8,2,Distrust in institutions,1,1,62,0.016129032258064516,Distrust in institutions
6.0,phase_6,phases 6-8,3,Others minimized victims experience,1,1,62,0.016129032258064516,Others minimized the experience
6.0,phase_6,phases 6-8,5,Lack of knowledge/awarenes that it is violence,7,6,62,0.11290322580645161,Lack of recognition as violence
6.0,phase_6,phases 6-8,6,Fear,41,41,62,0.6612903225806451,Fear
6.0,phase_6,phases 6-8,7,Self-blame,2,2,62,0.03225806451612903,Self-blame
7.0,phase_7,phases 6-8,11,Shame/embarassment,7,7,8,0.875,Shame or embarrassment
7.0,phase_7,phases 6-8,5,Lack of knowledge/awarenes that it is violence,1,1,8,0.125,Lack of recognition as violence
8.0,phase_8,phases 6-8,11,Shame/embarassment,12,12,15,0.8,Shame or embarrassment
8.0,phase_8,phases 6-8,15,Invisible violence / lack of physical evidence,1,1,15,0.06666666666666667,Invisible violence or lack of evidence
8.0,phase_8,phases 6-8,18,Perpetrator was a family member,1,1,15,0.06666666666666667,Perpetrator was family
8.0,phase_8,phases 6-8,6,Fear,1,1,15,0.06666666666666667,Fear
