post_phase_group,motive_family,motive_label,label_assignments,unique_tweets,group_total_assignments,group_assignment_share,display_label
phases 2-3,18,Perpetrator was a family member,29,29,1051,0.02759276879162702,Perpetrator was family
phases 2-3,19,Protection of the family,48,48,1051,0.04567078972407231,Family protection
phases 2-3,2,Distrust in institutions,34,34,1051,0.03235014272121789,Distrust in institutions
phases 2-3,20,"Belief that perpetartor will change (""it won't happen again"")",2,2,1051,0.0019029495718363464,Belief perpetrator would change
phases 2-3,22,Dependent on the perpetrator,9,9,1051,0.008563273073263558,Dependence on perpetrator
phases 2-3,23,I can deal with it,11,11,1051,0.010466222645099905,I can deal with it
phases 2-3,24,Blaming the victim,20,20,1051,0.019029495718363463,Blaming the victim
phases 2-3,25,OTHER,5,5,1051,0.004757373929590866,OTHER
phases 2-3,3,Others minimized victims experience,59,59,1051,0.056137012369172214,Others minimized the experience
phases 2-3,4,"""I tought that was normal"" (dismisal/minimizing)",14,14,1051,0.013320647002854425,Experience treated as normal
phases 2-3,5,Lack of knowledge/awarenes that it is violence,252,234,1051,0.23977164605137963,Lack of recognition as violence
phases 2-3,6,Fear,125,122,1051,0.11893434823977164,Fear
phases 2-3,7,Self-blame,84,84,1051,0.07992388201712655,Self-blame
phases 2-3,8,"Kept from reporting by others (""advised me not to report"")",7,7,1051,0.006660323501427212,Discouraged by others
phases 2-3,9,Managed to escape/defend,51,51,1051,0.048525214081826834,Escaped or defended oneself
phases 4-5,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),5,5,126,0.03968253968253968,Gaslighting or self-doubt
phases 4-5,11,Shame/embarassment,6,6,126,0.047619047619047616,Shame or embarrassment
phases 4-5,12,Lack of support from others,11,11,126,0.0873015873015873,Lack of support
phases 4-5,14,"Perpetrator was respected, powerfull, influential",4,4,126,0.031746031746031744,Perpetrator status or power
phases 4-5,15,Invisible violence / lack of physical evidence,1,1,126,0.007936507936507936,Invisible violence or lack of evidence
phases 4-5,16,"""No one would believe""",3,3,126,0.023809523809523808,No one would believe
phases 4-5,18,Perpetrator was a family member,5,5,126,0.03968253968253968,Perpetrator was family
phases 4-5,19,Protection of the family,1,1,126,0.007936507936507936,Family protection
phases 4-5,2,Distrust in institutions,7,7,126,0.05555555555555555,Distrust in institutions
phases 4-5,20,"Belief that perpetartor will change (""it won't happen again"")",1,1,126,0.007936507936507936,Belief perpetrator would change
phases 4-5,22,Dependent on the perpetrator,2,2,126,0.015873015873015872,Dependence on perpetrator
phases 4-5,23,I can deal with it,2,2,126,0.015873015873015872,I can deal with it
phases 4-5,24,Blaming the victim,1,1,126,0.007936507936507936,Blaming the victim
phases 4-5,25,OTHER,2,2,126,0.015873015873015872,OTHER
phases 4-5,3,Others minimized victims experience,10,10,126,0.07936507936507936,Others minimized the experience
phases 4-5,4,"""I tought that was normal"" (dismisal/minimizing)",5,5,126,0.03968253968253968,Experience treated as normal
phases 4-5,5,Lack of knowledge/awarenes that it is violence,25,21,126,0.1984126984126984,Lack of recognition as violence
phases 4-5,6,Fear,25,24,126,0.1984126984126984,Fear
phases 4-5,7,Self-blame,5,5,126,0.03968253968253968,Self-blame
phases 4-5,8,"Kept from reporting by others (""advised me not to report"")",2,2,126,0.015873015873015872,Discouraged by others
phases 4-5,9,Managed to escape/defend,3,3,126,0.023809523809523808,Escaped or defended oneself
phases 6-8,11,Shame/embarassment,1,1,10,0.1,Shame or embarrassment
phases 6-8,14,"Perpetrator was respected, powerfull, influential",1,1,10,0.1,Perpetrator status or power
phases 6-8,15,Invisible violence / lack of physical evidence,1,1,10,0.1,Invisible violence or lack of evidence
phases 6-8,18,Perpetrator was a family member,1,1,10,0.1,Perpetrator was family
phases 6-8,19,Protection of the family,1,1,10,0.1,Family protection
phases 6-8,4,"""I tought that was normal"" (dismisal/minimizing)",1,1,10,0.1,Experience treated as normal
phases 6-8,5,Lack of knowledge/awarenes that it is violence,2,1,10,0.2,Lack of recognition as violence
phases 6-8,6,Fear,1,1,10,0.1,Fear
phases 6-8,7,Self-blame,1,1,10,0.1,Self-blame
