phase_id,motive_family,motive_label,emotion_gemma,tweets
2,7,Self-blame,tuga,42
2,8,"Kept from reporting by others (""advised me not to report"")",bes,1
2,8,"Kept from reporting by others (""advised me not to report"")",strah,1
2,8,"Kept from reporting by others (""advised me not to report"")",tuga,5
2,9,Managed to escape/defend,bes,4
2,9,Managed to escape/defend,gađenje,7
2,9,Managed to escape/defend,iščekivanje,1
2,9,Managed to escape/defend,neutralno,1
2,9,Managed to escape/defend,poverenje,1
2,9,Managed to escape/defend,radost,5
2,9,Managed to escape/defend,strah,10
2,9,Managed to escape/defend,tuga,22
2,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),bes,8
2,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),gađenje,3
2,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),radost,4
2,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),strah,10
2,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),tuga,13
2,11,Shame/embarassment,bes,12
2,11,Shame/embarassment,gađenje,3
2,11,Shame/embarassment,radost,2
2,11,Shame/embarassment,strah,13
2,11,Shame/embarassment,tuga,37
2,12,Lack of support from others,bes,11
2,12,Lack of support from others,gađenje,4
2,12,Lack of support from others,neutralno,2
2,12,Lack of support from others,radost,1
2,12,Lack of support from others,strah,7
2,12,Lack of support from others,tuga,22
2,14,"Perpetrator was respected, powerfull, influential",bes,10
2,14,"Perpetrator was respected, powerfull, influential",gađenje,4
2,14,"Perpetrator was respected, powerfull, influential",iščekivanje,1
2,14,"Perpetrator was respected, powerfull, influential",radost,2
2,14,"Perpetrator was respected, powerfull, influential",strah,10
2,14,"Perpetrator was respected, powerfull, influential",tuga,26
2,15,Invisible violence / lack of physical evidence,bes,8
2,15,Invisible violence / lack of physical evidence,gađenje,2
2,15,Invisible violence / lack of physical evidence,neutralno,1
2,15,Invisible violence / lack of physical evidence,poverenje,1
2,15,Invisible violence / lack of physical evidence,radost,1
2,15,Invisible violence / lack of physical evidence,strah,14
2,15,Invisible violence / lack of physical evidence,tuga,20
2,16,"""No one would believe""",bes,5
2,16,"""No one would believe""",gađenje,5
2,16,"""No one would believe""",neutralno,1
2,16,"""No one would believe""",poverenje,1
2,16,"""No one would believe""",radost,4
2,16,"""No one would believe""",strah,11
2,16,"""No one would believe""",tuga,19
2,17,Blaming the victim,bes,6
2,17,Blaming the victim,gađenje,1
2,17,Blaming the victim,radost,1
2,17,Blaming the victim,strah,3
2,17,Blaming the victim,tuga,9
2,18,Perpetrator was a family member,bes,5
2,18,Perpetrator was a family member,gađenje,5
2,18,Perpetrator was a family member,neutralno,1
2,18,Perpetrator was a family member,radost,1
2,18,Perpetrator was a family member,strah,5
2,18,Perpetrator was a family member,tuga,12
2,19,Protection of the family,bes,9
2,19,Protection of the family,gađenje,6
2,19,Protection of the family,nepoznato,1
2,19,Protection of the family,radost,3
2,19,Protection of the family,strah,10
2,19,Protection of the family,tuga,22
2,20,"Belief that perpetartor will change (""it won't happen again"")",bes,1
2,20,"Belief that perpetartor will change (""it won't happen again"")",tuga,2
2,22,Dependent on the perpetrator,bes,2
2,22,Dependent on the perpetrator,gađenje,2
2,22,Dependent on the perpetrator,strah,1
2,22,Dependent on the perpetrator,tuga,4
2,23,I can deal with it,bes,3
2,23,I can deal with it,strah,5
2,23,I can deal with it,tuga,3
2,24,OTHER,bes,2
2,24,OTHER,radost,1
2,24,OTHER,strah,1
2,24,OTHER,tuga,3
3,2,Distrust in institutions,bes,1
3,2,Distrust in institutions,gađenje,1
3,2,Distrust in institutions,strah,2
3,2,Distrust in institutions,tuga,3
3,3,Others minimized victims experience,bes,2
3,3,Others minimized victims experience,gađenje,1
3,3,Others minimized victims experience,radost,2
3,3,Others minimized victims experience,strah,1
3,3,Others minimized victims experience,tuga,4
3,4,"""I tought that was normal"" (dismisal/minimizing)",bes,1
3,4,"""I tought that was normal"" (dismisal/minimizing)",gađenje,1
3,4,"""I tought that was normal"" (dismisal/minimizing)",radost,2
3,4,"""I tought that was normal"" (dismisal/minimizing)",tuga,1
3,5,Lack of knowledge/awarenes that it is violence,bes,2
3,5,Lack of knowledge/awarenes that it is violence,gađenje,5
3,5,Lack of knowledge/awarenes that it is violence,strah,5
3,5,Lack of knowledge/awarenes that it is violence,tuga,9
3,6,Fear,bes,4
3,6,Fear,gađenje,4
3,6,Fear,radost,1
3,6,Fear,strah,5
3,6,Fear,tuga,11
3,7,Self-blame,gađenje,2
3,7,Self-blame,strah,2
3,7,Self-blame,tuga,1
3,8,"Kept from reporting by others (""advised me not to report"")",strah,2
3,9,Managed to escape/defend,gađenje,3
3,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),bes,2
3,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),gađenje,1
3,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),tuga,2
3,11,Shame/embarassment,bes,1
3,11,Shame/embarassment,gađenje,2
3,11,Shame/embarassment,neutralno,1
3,11,Shame/embarassment,strah,1
3,11,Shame/embarassment,tuga,1
3,12,Lack of support from others,bes,5
3,12,Lack of support from others,gađenje,1
3,12,Lack of support from others,strah,1
3,12,Lack of support from others,tuga,4
3,14,"Perpetrator was respected, powerfull, influential",gađenje,1
3,14,"Perpetrator was respected, powerfull, influential",strah,3
3,15,Invisible violence / lack of physical evidence,strah,1
3,16,"""No one would believe""",bes,1
3,16,"""No one would believe""",radost,1
3,16,"""No one would believe""",tuga,1
3,17,Blaming the victim,gađenje,1
3,18,Perpetrator was a family member,bes,1
3,18,Perpetrator was a family member,gađenje,1
3,18,Perpetrator was a family member,strah,2
3,18,Perpetrator was a family member,tuga,2
3,19,Protection of the family,bes,1
3,20,"Belief that perpetartor will change (""it won't happen again"")",bes,1
3,22,Dependent on the perpetrator,bes,1
3,22,Dependent on the perpetrator,strah,1
3,23,I can deal with it,tuga,2
3,24,OTHER,strah,2
4,4,"""I tought that was normal"" (dismisal/minimizing)",gađenje,1
4,5,Lack of knowledge/awarenes that it is violence,tuga,1
4,7,Self-blame,gađenje,1
4,14,"Perpetrator was respected, powerfull, influential",gađenje,1
4,15,Invisible violence / lack of physical evidence,gađenje,1
4,19,Protection of the family,tuga,1
5,11,Shame/embarassment,tuga,1
