motive_family,motive_label,emotion,tweets,reason_total,reason_emotion_share,display_label,emotion_display
2,Distrust in institutions,anger,8,48,0.16666666666666666,Distrust in institutions,anger
2,Distrust in institutions,fear,11,48,0.22916666666666666,Distrust in institutions,fear
2,Distrust in institutions,joy,7,48,0.14583333333333334,Distrust in institutions,joy
2,Distrust in institutions,sadness,22,48,0.4583333333333333,Distrust in institutions,sadness
20,"Belief that perpetartor will change (""it won't happen again"")",anger,2,4,0.5,Belief perpetrator would change,anger
20,"Belief that perpetartor will change (""it won't happen again"")",fear,1,4,0.25,Belief perpetrator would change,fear
20,"Belief that perpetartor will change (""it won't happen again"")",sadness,1,4,0.25,Belief perpetrator would change,sadness
22,Dependent on the perpetrator,anger,2,13,0.15384615384615385,Dependence on perpetrator,anger
22,Dependent on the perpetrator,fear,1,13,0.07692307692307693,Dependence on perpetrator,fear
22,Dependent on the perpetrator,joy,3,13,0.23076923076923078,Dependence on perpetrator,joy
22,Dependent on the perpetrator,sadness,7,13,0.5384615384615384,Dependence on perpetrator,sadness
23,I can deal with it,anger,3,13,0.23076923076923078,Belief that one could deal with it,anger
23,I can deal with it,fear,2,13,0.15384615384615385,Belief that one could deal with it,fear
23,I can deal with it,joy,1,13,0.07692307692307693,Belief that one could deal with it,joy
23,I can deal with it,sadness,7,13,0.5384615384615384,Belief that one could deal with it,sadness
24,OTHER,anger,2,9,0.2222222222222222,Other,anger
24,OTHER,fear,2,9,0.2222222222222222,Other,fear
24,OTHER,joy,5,9,0.5555555555555556,Other,joy
3,Others minimized victims experience,anger,13,73,0.1780821917808219,Others minimized the experience,anger
3,Others minimized victims experience,fear,8,73,0.1095890410958904,Others minimized the experience,fear
3,Others minimized victims experience,joy,14,73,0.1917808219178082,Others minimized the experience,joy
3,Others minimized victims experience,sadness,38,73,0.5205479452054794,Others minimized the experience,sadness
4,"""I tought that was normal"" (dismisal/minimizing)",anger,9,23,0.391304347826087,Experience treated as normal,anger
4,"""I tought that was normal"" (dismisal/minimizing)",fear,7,23,0.30434782608695654,Experience treated as normal,fear
4,"""I tought that was normal"" (dismisal/minimizing)",joy,2,23,0.08695652173913043,Experience treated as normal,joy
4,"""I tought that was normal"" (dismisal/minimizing)",sadness,5,23,0.21739130434782608,Experience treated as normal,sadness
5,Lack of knowledge/awarenes that it is violence,anger,69,266,0.2593984962406015,Lack of knowledge about violence,anger
5,Lack of knowledge/awarenes that it is violence,fear,43,266,0.16165413533834586,Lack of knowledge about violence,fear
5,Lack of knowledge/awarenes that it is violence,joy,47,266,0.17669172932330826,Lack of knowledge about violence,joy
5,Lack of knowledge/awarenes that it is violence,sadness,107,266,0.40225563909774437,Lack of knowledge about violence,sadness
6,Fear,anger,39,156,0.25,Fear,anger
6,Fear,fear,29,156,0.1858974358974359,Fear,fear
6,Fear,joy,21,156,0.1346153846153846,Fear,joy
6,Fear,sadness,67,156,0.42948717948717946,Fear,sadness
7,Self-blame,anger,28,98,0.2857142857142857,Self-blame,anger
7,Self-blame,fear,14,98,0.14285714285714285,Self-blame,fear
7,Self-blame,joy,17,98,0.17346938775510204,Self-blame,joy
7,Self-blame,sadness,39,98,0.3979591836734694,Self-blame,sadness
8,"Kept from reporting by others (""advised me not to report"")",anger,4,9,0.4444444444444444,Discouraged by others,anger
8,"Kept from reporting by others (""advised me not to report"")",joy,1,9,0.1111111111111111,Discouraged by others,joy
8,"Kept from reporting by others (""advised me not to report"")",sadness,4,9,0.4444444444444444,Discouraged by others,sadness
9,Managed to escape/defend,anger,12,56,0.21428571428571427,Escaped or defended oneself,anger
9,Managed to escape/defend,fear,8,56,0.14285714285714285,Escaped or defended oneself,fear
9,Managed to escape/defend,joy,8,56,0.14285714285714285,Escaped or defended oneself,joy
9,Managed to escape/defend,sadness,28,56,0.5,Escaped or defended oneself,sadness
