post_phase_id,post_phase,post_phase_group,coded_post_type,motive_family,motive_label,label_assignments,unique_tweets,phase_total_assignments,phase_assignment_share,display_label
2.0,phase_2,phase 2,post,8,"Kept from reporting by others (""advised me not to report"")",7,7,1043,0.006711409395973154,Discouraged by others
2.0,phase_2,phase 2,post,9,Managed to escape/defend,46,46,1043,0.04410354745925216,Escaped or defended oneself
3.0,phase_3,phase 3,comment,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),2,2,123,0.016260162601626018,Gaslighting or self-doubt
3.0,phase_3,phase 3,comment,11,Shame/embarassment,1,1,123,0.008130081300813009,Shame or embarrassment
3.0,phase_3,phase 3,comment,12,Lack of support from others,1,1,123,0.008130081300813009,Lack of support
3.0,phase_3,phase 3,comment,14,"Perpetrator was respected, powerfull, influential",2,2,123,0.016260162601626018,Perpetrator status or power
3.0,phase_3,phase 3,comment,16,"""No one would believe""",1,1,123,0.008130081300813009,No one would believe
3.0,phase_3,phase 3,comment,18,Perpetrator was a family member,1,1,123,0.008130081300813009,Perpetrator was family
3.0,phase_3,phase 3,comment,2,Distrust in institutions,1,1,123,0.008130081300813009,Distrust in institutions
3.0,phase_3,phase 3,comment,22,Dependent on the perpetrator,1,1,123,0.008130081300813009,Dependence on perpetrator
3.0,phase_3,phase 3,comment,24,OTHER,1,1,123,0.008130081300813009,Other
3.0,phase_3,phase 3,comment,4,"""I tought that was normal"" (dismisal/minimizing)",1,1,123,0.008130081300813009,Experience treated as normal
3.0,phase_3,phase 3,comment,5,Lack of knowledge/awarenes that it is violence,4,4,123,0.032520325203252036,Lack of knowledge about violence
3.0,phase_3,phase 3,comment,6,Fear,3,3,123,0.024390243902439025,Fear
3.0,phase_3,phase 3,comment,7,Self-blame,2,2,123,0.016260162601626018,Self-blame
3.0,phase_3,phase 3,comment,8,"Kept from reporting by others (""advised me not to report"")",1,1,123,0.008130081300813009,Discouraged by others
3.0,phase_3,phase 3,post,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),4,4,123,0.032520325203252036,Gaslighting or self-doubt
3.0,phase_3,phase 3,post,11,Shame/embarassment,4,4,123,0.032520325203252036,Shame or embarrassment
3.0,phase_3,phase 3,post,12,Lack of support from others,11,11,123,0.08943089430894309,Lack of support
3.0,phase_3,phase 3,post,14,"Perpetrator was respected, powerfull, influential",2,2,123,0.016260162601626018,Perpetrator status or power
3.0,phase_3,phase 3,post,16,"""No one would believe""",2,2,123,0.016260162601626018,No one would believe
3.0,phase_3,phase 3,post,17,Blaming the victim,1,1,123,0.008130081300813009,Victim blaming
3.0,phase_3,phase 3,post,18,Perpetrator was a family member,4,4,123,0.032520325203252036,Perpetrator was family
3.0,phase_3,phase 3,post,19,Protection of the family,1,1,123,0.008130081300813009,Family protection
3.0,phase_3,phase 3,post,2,Distrust in institutions,5,5,123,0.04065040650406504,Distrust in institutions
3.0,phase_3,phase 3,post,20,"Belief that perpetartor will change (""it won't happen again"")",1,1,123,0.008130081300813009,Belief perpetrator would change
3.0,phase_3,phase 3,post,22,Dependent on the perpetrator,1,1,123,0.008130081300813009,Dependence on perpetrator
3.0,phase_3,phase 3,post,23,I can deal with it,2,2,123,0.016260162601626018,Belief that one could deal with it
3.0,phase_3,phase 3,post,3,Others minimized victims experience,8,8,123,0.06504065040650407,Others minimized the experience
3.0,phase_3,phase 3,post,4,"""I tought that was normal"" (dismisal/minimizing)",5,5,123,0.04065040650406504,Experience treated as normal
3.0,phase_3,phase 3,post,5,Lack of knowledge/awarenes that it is violence,20,20,123,0.16260162601626016,Lack of knowledge about violence
3.0,phase_3,phase 3,post,6,Fear,21,21,123,0.17073170731707318,Fear
3.0,phase_3,phase 3,post,7,Self-blame,6,6,123,0.04878048780487805,Self-blame
3.0,phase_3,phase 3,post,9,Managed to escape/defend,3,3,123,0.024390243902439025,Escaped or defended oneself
4.0,phase_4,phases 4-6,comment,6,Fear,1,1,7,0.14285714285714285,Fear
4.0,phase_4,phases 4-6,post,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),1,1,7,0.14285714285714285,Gaslighting or self-doubt
4.0,phase_4,phases 4-6,post,12,Lack of support from others,1,1,7,0.14285714285714285,Lack of support
4.0,phase_4,phases 4-6,post,14,"Perpetrator was respected, powerfull, influential",1,1,7,0.14285714285714285,Perpetrator status or power
4.0,phase_4,phases 4-6,post,24,OTHER,1,1,7,0.14285714285714285,Other
4.0,phase_4,phases 4-6,post,3,Others minimized victims experience,1,1,7,0.14285714285714285,Others minimized the experience
4.0,phase_4,phases 4-6,post,6,Fear,1,1,7,0.14285714285714285,Fear
6.0,phase_6,phases 4-6,comment,18,Perpetrator was a family member,1,1,1,1.0,Perpetrator was family
